"transferee_name","fund_name","amount","page","is_direct","transferee_country","transferee_ein","fund_ein","transferee_address","date","fund_nicename","citation","blurb","sector","website","flag","region","URL"
"Webull Corporation","Hedosophia Partners IV L.P.",333005,120,FALSE,"Cayman Islands","N/A","N/A","Sertus Incorporations (Cayman) Limited, Sertus Chambers, Governors Squares, Suite #5-204 23 Lime Tree Bay Avenue, P.O. Box 2547, Grand Cayman, KY1-1104, Cayman Islands","6/10/2021","Hedosophia Partners",NA,"Online stock trading","Cryptocurrency & Stock","webullcorp.com",NA,"Carribean","https://www.webullcorp.com/"
"Anomaly Capital International Ltd","Anomaly Capital",4e+06,130,TRUE,"Cayman Islands","98-1549313","98-1549313","Walkers Corporate Limited, 190 Elgin Avenue George Town, Grand Cayman KY1-9008, Cayman Islands","6/1/2022","Anomaly Capital",NA,"Investment fund","Fund","anomalycapital.com",NA,"Carribean","https://www.anomalycapital.com/"
"ARCM Feeder Fund IV Ltd.","ARCM Feeder Fund IV Ltd.",8e+05,131,TRUE,"Cayman Islands","N/A","N/A","27 Hospital Road George Town, Grand Cayman KY1-9008, Cayman Islands","9/1/2021","ARCM Feeder Fund",NA,"Investment fund","Fund",NA,NA,"Carribean",NA
"CoreView Offshore Fund Ltd","CoreView Offshore",5500000,132,TRUE,"Cayman Islands","N/A","N/A","Walkers Corporate Limited, 190 Elgin Avenue George Town, Grand Cayman KY1-9008, Cayman Islands","9/1/2021, 2/1/2022 & 4/1/2022","CoreView Offshore",NA,"Investment fund","Fund",NA,NA,"Carribean",NA
"Kora Offshore Fund Ltd","Kora Offshore",1e+07,133,TRUE,"Cayman Islands","98-1146963","N/A","PO Box 309, Ugland House, South Church Street George Town, Grand Cayman KY1-1104, Cayman Islands","2/1/2021, 4/1/2022 & 5/1/2022","Kora Offshore",NA,"Investment fund","Fund","koracap.com",NA,"Carribean","https://koracap.com/"
"Soleus Capital Offshore, Ltd.","Soleus Capital Offshore, Ltd.",1.5e+07,134,TRUE,"Cayman Islands","N/A","N/A","104 Field Point Road, 2nd Floor Cayman Islands","5/1/2022","Soleus Capital Management","https://aum13f.com/fund/soleus-capital-offshore-ltd","Investment fund","Fund","soleuscapital.com",NA,"Carribean","https://soleuscapital.com/"
"Ubits Learning Solutions, S.A.S.","OWL ventures III, LP",180202,99,FALSE,"Colombia","N/A","83-0910683","Carrea 7 Bis #106-39 Bogota, Colombia","Various","Owl Ventures","https://aum13f.com/firm/owl-ventures-llc","HR software and training modules","Software & Tech","ubits.com",NA,"South America","https://ubits.com/"
"Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)","WPEF VII Feeder LP",117696,139,FALSE,"Denmark","N/A","98-1378508","Uggerhalnevej 80 9310 Vodskov, Denmark","Various","WPEF VII Feeder LP",NA,"""Dressage, show jumping, and equestrian events""","Other","globalequestriangroup.com",NA,"Europe","https://globalequestriangroup.com/"
"Swile","Hedosophia Partners IV L.P.",253882,119,FALSE,"France","N/A","N/A","561 Rue Geroges Melies 34000 Montpellier, France","7/15/2021","Hedosophia Partners",NA,"Virtual card for employee benefits, particularly meal vouchers","Software & Tech","swile.co",NA,"Europe","https://www.swile.co/"
"Skaleet SA F/K/A Tagpay SA","Long Arc Capital Fund I, L.P.",133964,122,FALSE,"France","N/A","84-3852891","86-90 Rue Du Dome Boulogne Billancourt, 92100 France","9/20/2021","Long ARC Capital","https://aum13f.com/firm/long-arc-capital-lp","Backend finance software for banks","Banking","skaleet.comenabout-us",NA,"Europe","https://skaleet.com/en/about-us"
"Shares S.A.S","Valar Fund VII LP",137371,152,FALSE,"France","N/A","86-2223256","21 Rue des Filles du Calvaire Paris, France, 75003","Various","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Stock trading software","Cryptocurrency & Stock","shares.io",NA,"Europe","https://www.shares.io/"
"Clue By Biowink GmbH","Balderton Capital VII, SLP",161483,97,FALSE,"Germany","N/A","98-1501043","Adalbertstrabe 7-8 Berlin, 10999 Germany","Various","Balderton Capital",NA,"Period tracking app","Software & Tech","helloclue.com","T","Europe","https://helloclue.com/"
"Morressier GmbH","Owl Ventures IV, LP",107700,101,FALSE,"Germany","N/A","85-0853105","Zossener Strasse 55-58 10961 Berlin, Germany","Various","Owl Ventures","https://aum13f.com/firm/owl-ventures-llc","Software backbone for scientific research journals","Software & Tech","hubspot.morressier.com",NA,"Europe","https://hubspot.morressier.com/"
"Castle Tech GmbH","Stripes IV Offshore AIV, LP",116346,104,FALSE,"Germany","N/A","98-1423490","Mariendorfer Damm 1 Berlin, 12099, Germany","11/17/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","Online auction platform for used car dealers","Software & Tech","caronsale.comen",NA,"Europe","https://www.caronsale.com/en"
"N26 GmbH","Valar Velocity Fund 2 LP",51126,107,FALSE,"Germany","N/A","84-4987077","Rungestr. 22 (3. Hinterhof) 10179 Berlin, Germany","11/19/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Mobile-first alternative bank","Banking","n26.comen-eu",NA,"Europe","https://n26.com/en-eu"
"Flixmobility GmbH","Hedosophia Partners IV L.P.",363408,110,FALSE,"Germany","N/A","N/A","Friedenheimer Brucke 16 80639 Munich Germany","6/4/2021","Hedosophia Partners",NA,"Cheap long-distance bus travel in the United States","Other","flixbus.com",NA,"Europe","https://www.flixbus.com/"
"Scalable Capital GmbH","Hedosophia Partners IV L.P.",223832,118,FALSE,"Germany","N/A","N/A","Seitzstrabe 8E 80538 Munich, Germany","6/21/2021","Hedosophia Partners",NA,"Stock trading app","Cryptocurrency & Stock","de.scalable.capitalen",NA,"Europe","https://de.scalable.capital/en"
"Barbara Sturm Molecular Cosmetics GmbH","Stripes V(A) Offshore AIV, LP",235443,124,FALSE,"Germany","N/A","98-1576367","Konigsallee 24 40212 Dusseldorft, Germany","3/8/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","Skincare and cosmetics products","Medicine & Biotech","drsturm.com",NA,"Europe","https://www.drsturm.com/"
"Nufin GmbH","Valar Fund VI LP",211775,136,FALSE,"Germany","N/A","84-4735286","Ziegelstr. 16 10117, Berlin, Germany","2/1/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Company accounting software","Software & Tech","getmoss.com",NA,"Europe","https://www.getmoss.com/"
"Nufin GmbH","Valar Fund VII LP",94759,154,FALSE,"Germany","N/A","86-2223256","Ziegelstr. 16 Berlin, 10117, Germany","8/31/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Company accounting software","Software & Tech","getmoss.com",NA,"Europe","https://www.getmoss.com/"
"Cross Ocean Aviation Fund | (Intl) DAC","Cross Ocean Aviation Fund | Cayman Feeder LP",2807638,143,FALSE,"Ireland","N/A","98-1351135","2 Grand Canal Square, Grand Canal Harbour Dublin 2 DO2 A342, Ireland","Various","Cross Ocean Aviation Fund",NA,"Investment fund","Fund",NA,NA,"Europe",NA
"Cyber Hunters Ltd.","Stripes IV Offshore AIV, LP",135242,105,FALSE,"Israel","N/A","98-1423490","82 Yigal Alon St Tel Aviv, 6789139, Israel","12/6/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","Cybersecurity software for small companies","Cybersecurity","hunters.security",NA,"Middle East","https://www.hunters.security"
"Mobilesson Ltd.","Stripes IV Offshore AIV, LP",225354,106,FALSE,"Israel","N/A","98-1423490","111 Arlozorov St. Tel Aviv, 6209809, Israel","12/22/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","Produces HR software under the alias ConnectTeam","Software & Tech","connecteam.com",NA,"Middle East","https://connecteam.com/"
"Fireblocks Ltd.","Stripes V(A) Offshore AIV, LP",477298,123,FALSE,"Israel","N/A","98-1576367","150 Begin Menachem Rd Tel Aviv-Jaffa, Israel 6492105","2/18/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","Backend infrastructure for digital money transfers and cryptocurrency","Software & Tech","fireblocks.com",NA,"Middle East","https://www.fireblocks.com/"
"Orca Security Ltd.","Stripes V(A) Offshore AIV, LP",239026,125,FALSE,"Israel","N/A","98-1576367","Hamasger St 66 Tel Aviv-Yafo, Israel 6721714","8/4/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","Cybersecurity firm specializing in cloud security","Cybersecurity","orca.security",NA,"Middle East","https://orca.security/"
"Mobilesson Ltd.","Stripes V(A) Offshore AIV, LP",159359,126,FALSE,"Israel","N/A","98-1576367","111 Arlozorov Tel Aviv - Jaffa, Israel 6209809","12/22/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","Produces HR software under the alias ConnectTeam","Software & Tech","connecteam.com",NA,"Middle East","https://connecteam.com/"
"PW Real Estate Fund III Feeder LP","PW Real Estate Fund III Feeder LP",395802,164,FALSE,"Jersey","98-1275822","98-1275822","1 Waverly Place, Union Street St Helier JE1 1SG, Jersey","7/29/2021","PW Real Estate Fund",NA,"Fund [closed]","NA",NA,NA,"Europe",NA
"Jokr S.A.R.L.","Balderton Capital VII, SLP",238846,98,FALSE,"Luxembourg","N/A","98-1501043","6 Rue Adolphe L-1116 Luxembourg","Various","Balderton Capital",NA,"Grocery delivery app","Software & Tech","jokr.com",NA,"Europe","https://www.jokr.com/"
"Davanti Group BV","WCP Newcold LP",11612,108,FALSE,"Netherlands","N/A","47-3997648","Hogeweg 35-E, Zaltbomm 5301 U Netherlands","Various","WCP Newcold",NA,"Warehouse management software","Software & Tech","davanti-wics.comen",NA,"Europe","https://davanti-wics.com/en/"
"Newcold Argentan Holding BV","WCP Newcold LP",14023,109,FALSE,"Netherlands","N/A","47-3997648","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands","Various","WCP Newcold",NA,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA
"Blue Phoenix Holding B.V.","WPEF VI Feeder LP",413016,138,FALSE,"Netherlands","N/A","98-0706142","Petroleumweg 32D 3196 KD Rotterdam, Netherlands","Various","WPEF VI Feeder LP",NA,"Repurposing landfill waste for urban development","Other","blue-phoenix.com",NA,"Europe","https://www.blue-phoenix.com/"
"Rehab and Mental Healthcare Group B.V.","WPEF VII Feeder LP",579693,140,FALSE,"Netherlands","N/A","98-1378508","Prins Bernhardplein 200 1097 JB Amsterdam, Netherlands","Various","WPEF VII Feeder LP",NA,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA
"Rehab and Mental Healthcare Group B.V.","WPEF VIII Feeder LP",382935,141,FALSE,"Netherlands","N/A","98-1563212","Prins Bernhardplein 200 1097 JB Amsterdam, Netherlands","Various","WPEF VIII Feeder LP",NA,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA
"Newcold Corby Holding II B.V.","WCP Newcold, LP",102724,151,FALSE,"Netherlands","N/A","47-3997648","Gravinnen Van Nassauboulevard 105 4811 BN Breda, Netherlands","Various","WCP Newcold",NA,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA
"Newcold Development BV","WCP Newcold, LP",1955,159,FALSE,"Netherlands","N/A","47-3997648","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands","12/1/2021","WCP Newcold",NA,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA
"Newcold Rheine Holdings II BV","WCP Newcold, LP",12507,160,FALSE,"Netherlands","N/A","47-3997648","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands",NA,"WCP Newcold",NA,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA
"Leap Technologies Private Ltd","Owl Ventures IV, LP",160001,100,FALSE,"Singapore","N/A","85-0853105","11 Collyer Quay #17-00 The Arcade, Singapore 049317","Various","Owl Ventures","https://aum13f.com/firm/owl-ventures-llc","[No verifiable details]","[No verifiable details]",NA,NA,"Asia",NA
"Tulp Street Pte Limited","Hedosophia Partners IV L.P.",206008,116,FALSE,"Singapore","N/A","N/A","50 Raffles Place #37-00, Singapore Land Tower Singapore 048623","6/17/2021","Hedosophia Partners",NA,"Software infrastructure for clinical trials","Medicine & Biotech","lummo.io",NA,"Asia","https://www.lummo.io/"
"Buku Pte. Ltd.","Valar Fund VII LP",214945,129,FALSE,"Singapore","N/A","86-2223256","2 Marina Boulevard #19-10 Singapore 018987","5/27/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","[No verifiable details]","Software & Tech",NA,NA,"Asia",NA
"Shopup PTE. Ltd.","Valar Fund VII LP",287113,148,FALSE,"Singapore","N/A","86-2223256","1B Trengganu St Singapore 058455","Various","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Software infrastructure for small retailers in Bangladesh","Software & Tech","shopup.org",NA,"Asia","https://shopup.org/"
"DEFI Holding PTE. Ltd.","Valar Fund VII LP",118634,149,FALSE,"Singapore","N/A","86-2223256","UOB Plaza, 80 Raffles Place #32-01 Singapore 048624","Various","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Cryptocurrency trading platform","Cryptocurrency & Stock","vauld.com",NA,"Asia","https://www.vauld.com"
"Svava Pte. Ltd.","Valar Fund VII LP",133450,150,FALSE,"Singapore","N/A","86-2223256","6001 Beach Road, #22-01, Golden Mile Tower Singapore 199589","7/7/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","AI coworking agents","Gen AI","svava.io","T","Asia","https://svava.io/"
"Bizmo Technologies Pte. Ltd.","Valar Fund VI, LP",46613,166,FALSE,"Singapore","N/A","84-4735286","68 Circular Road #02-01 Singapore, 049422","11/1/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Software development contractor","Software & Tech","bizmo-tech.com",NA,"Asia","https://bizmo-tech.com/"
"Bizmo Technologies Pte. Ltd.","Valar Fund VII LP",65272,167,FALSE,"Singapore","N/A","86-2223256","68 Circular Road #02-01 Singapore, 049422","11/1/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Software development contractor","Software & Tech","bizmo-tech.com",NA,"Asia","https://bizmo-tech.com/"
"Yoco Holdings C1/GBL","Hedosophia Partners IV L.P.",225036,114,FALSE,"South Africa","N/A","N/A","56 Shortmarket Street Cape Town, 8001, South Africa","6/14/2021","Hedosophia Partners",NA,"Card machines and online payment vendor","Software & Tech","yoco.com",NA,"Africa","https://www.yoco.com/"
"Glovoapp23, S.L.","Hedosophia Partners IV L.P.",321423,111,FALSE,"Spain","N/A","N/A","Calle Pujades, Number 94 Barcelona, Spain","4/27/2021","Hedosophia Partners",NA,"Food delivery app","Software & Tech","glovoapp.comen",NA,"Europe","https://glovoapp.com/en"
"The Power MBA","Hedosophia Partners IV L.P.",231645,113,FALSE,"Spain","N/A","N/A","Calle Francisco Silvea, 42 Madrid, 28028, Spain","8/25/2021","Hedosophia Partners",NA,"Online business masters program","Education","thepower.educationen",NA,"Europe","https://thepower.education/en"
"Kry International AB","Hedosophia Partners IV L.P.",282096,112,FALSE,"Sweden","N/A","N/A","Torsgatan 21, 113 21 113 21 Stockholm, Sweden","5/14/2021","Hedosophia Partners",NA,"Telehealth software","Medicine & Biotech","kry.health",NA,"Europe","https://kry.health/"
"Majority AB","Valar Fund VII LP",152726,128,FALSE,"Sweden","N/A","86-2223256","Jakobsbergsgatan 16 Stockholm, Sweden, 111 44","Various","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Mobile banking for non-citizens residing in the U.S.","Banking","majority.com",NA,"Europe","https://majority.com"
"Portofino Technologies AG","Valar Fund VII LP",148019,153,FALSE,"Switzerland","N/A","86-2223256","Dammstrasse 18 6300 Zug, Switzerland","Various","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Software infrastructure for cryptocurrency","Cryptocurrency & Stock","portofino.tech",NA,"Europe","https://www.portofino.tech/"
"Dream Games Holdings Ltd","Index Ventures Growth VI (Jersey) L.P.",244940,155,FALSE,"Turkey","N/A","98-1614524","102/60 Sisli Istanbul Turkey","12/20/2021","Index Ventures Growth",NA,"Developer of mobile games including Royal Match and Royal Kingdom","Software & Tech","dreamgames.com","T","Eurasia","https://www.dreamgames.com/"
"SNYK, Ltd","Stripes III Offshore AIV, LP",341712,103,FALSE,"United Kingdom","N/A","98-1257392","50 Broadway, Suite 4, 7th Floor London, UK SW1H ODB","4/26/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","AI-first cybersecurity platform","Cybersecurity","snyk.io",NA,"Europe","https://snyk.io/"
"Bought by Many Limited","Hedosophia Partners IV L.P.",326566,121,FALSE,"United Kingdom","N/A","N/A","Unit 1B, 1-10 Summers Street London, UK EC1R 5BD","6/4/2021","Hedosophia Partners",NA,"Health insurance for pets","Other","manypets.com",NA,"Europe","https://manypets.com"
"Lion TopCo Limited","Marlin Equity V, LP",204312,137,FALSE,"United Kingdom","N/A","98-1347330","10 Bressenden Place London, UK SW1E 5DH","9/23/2021","Marlin Equity",NA,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA
"Synthesia Limited","Firstmark Capital V, L.P.",167368,145,FALSE,"United Kingdom","N/A","84-3747650","16 Dufours Place London, UK W1F 7SP","Various","Firstmark Capital","https://aum13f.com/firm/firstmark-capital-llc?view_all=fund","AI video generation","Gen AI","synthesia.io",NA,"Europe","https://www.synthesia.io/"
"Kuda Technologies Limited","Valar Fund VII LP",175130,147,FALSE,"United Kingdom","N/A","86-2223256","5 New Street Square London, UK EC4A 3TW","8/3/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Mobile banking app based in Africa","Banking","kuda.com",NA,"Europe","https://kuda.com/"
"Motorway Online Ltd","Index Ventures Growth VI (Jersey) L.P.",153880,156,FALSE,"United Kingdom","N/A","98-1614524","International House, 24 Holborn Viaduct London, England, EC1A 2BN, UK","11/23/2021","Index Ventures Growth",NA,"Mobile-first used car reseller","Software & Tech","motorway.co.uk",NA,"Europe","https://motorway.co.uk/"
"Kuda Technologies Limited","Valar Fund VI LP",266551,157,FALSE,"United Kingdom","N/A","84-4735286","5 New Street Square London, UK EC4A 3TW","2/24/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Mobile banking app based in Africa","Banking","kuda.com",NA,"Europe","https://kuda.com/"
"Tangerine Financial Limited","Sango Capital Partners L.P.",95006,158,FALSE,"United Kingdom","N/A","98-1094492","54 Portland Place London, UK W1B 1DY","10/15/2021","Sango Capital Partners",NA,"[Company dissolved in 2024]","NA",NA,NA,"Europe",NA
