"transferee_name","amount","country","log_amt","blurb","sector","website","flag","region","URL","lat","long"
"ADA Support, Inc.",192594,"Canada",5.28464275315466,"AI customer service agents that automates responses to customer texts, emails, or phonecalls","Gen AI","ada.cx",NA,"North America","https://www.ada.cx/","43.6457897","-79.3800124"
"Apollo Topco B.V.",365946,"Belgium",5.56341700443198,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA,"51.05246099102429","3.6556263663627075"
"Aviron Interactive Inc.",159728,"Canada",5.20338105376903,"Makes physical fitness and excersise machines","Other","avironactive.com",NA,"North America","https://www.avironactive.com/","43.7179788","-79.3163063"
"Barbara Sturm Molecular Cosmetics GmbH",235443,"Germany",5.37188578287997,"Skincare and cosmetics products","Medicine & Biotech","drsturm.com",NA,"Europe","https://www.drsturm.com/","51.22514861024348","6.779648168224386"
"Bitpanda GmbH",453693,"Austria",5.65676207861619,"Cryptocurrency and stock trading app marketed to beginners","Cryptocurrency & Stock","bitpanda.comen",NA,"Europe","https://www.bitpanda.com/en","48.212847511102204","16.414027654546874"
"Bizmo Technologies Pte. Ltd.",111885,"Singapore",5.04877186620761,"Software development contractor","Software & Tech","bizmo-tech.com",NA,"Asia","https://bizmo-tech.com/","1.2865812384035151","103.8491208376651"
"Blue Phoenix Holding B.V.",413016,"Netherlands",5.61596687629832,"Repurposing landfill waste for urban development","Other","blue-phoenix.com",NA,"Europe","https://www.blue-phoenix.com/","51.89519432526849","4.354682470117513"
"Bought by Many Limited",326566,"United Kingdom",5.51397096674165,"Health insurance for pets","Other","manypets.com",NA,"Europe","https://manypets.com","51.5226178","-0.1098865"
"Buku Pte. Ltd.",214945,"Singapore",5.3323273471145,"[No verifiable details]","Software & Tech",NA,NA,"Asia",NA,"1.2812195002451414","103.85269762232167"
"Castle Tech GmbH",116346,"Germany",5.06575145674359,"Online auction platform for used car dealers","Software & Tech","caronsale.comen",NA,"Europe","https://www.caronsale.com/en","52.4534017","13.385199"
"Chargelab Inc.",109479,"Canada",5.03933082183577,"Software infrastructure for electric vehicle chargers in North America","Software & Tech","chargelab.co",NA,"North America","https://chargelab.co/","43.66541873145806","-79.46803838804455"
"Clue By Biowink GmbH",161483,"Germany",5.20812680905227,"Period tracking app","Software & Tech","helloclue.com","T","Europe","https://helloclue.com/","52.50050626541297","13.419751654812636"
"Cross Ocean Aviation Fund | (Intl) DAC",2807638,"Ireland",6.44834111174225,"Investment fund","Fund",NA,NA,"Europe",NA,"53.3439129","-6.2405868"
"Cyber Hunters Ltd.",135242,"Israel",5.13111158462066,"Cybersecurity software for small companies","Cybersecurity","hunters.security",NA,"Middle East","https://www.hunters.security","32.06896191058202","34.793872277129765"
"DEFI Holding PTE. Ltd.",118634,"Singapore",5.07420917381951,"Cryptocurrency trading platform","Cryptocurrency & Stock","vauld.com",NA,"Asia","https://www.vauld.com","1.285419581649738","103.85121844877024"
"Davanti Group BV",11612,"Netherlands",4.06490702715964,"Warehouse management software","Software & Tech","davanti-wics.comen",NA,"Europe","https://davanti-wics.com/en/","51.79845976739454","5.256299268260543"
"Dream Games Holdings Ltd",244940,"Turkey",5.3890597135067,"Developer of mobile games including Royal Match and Royal Kingdom","Software & Tech","dreamgames.com","T","Eurasia","https://www.dreamgames.com/","41.068132798183235","29.00929037288316"
