transferee,description,consideration_received,amount,page
"

(2) Name of Transferee: AL Services
EIN: N/A

Address:

Country of Incorporation Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Ahoy Capital Seed Technology Partners IV, LP
(EIN: 83-1663248), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing

a IRC Sec. 351 contribution made by Ahoy Capital Seed Technology Partners IV, LP

to AL Services.

(3) Consideration received: ","Ownership interest in AL Services believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$191,768",94
"

(2) Name of Transferee: Plotlogic Pty, Ltd

EIN: N/A

Address: 12 Thompson Street, Bowen Hills
QLD 4006 Australia

Country of Incorporation Australia

","Oberlin College (EIN: 34-0714363) owns an interest in Ahoy Capital Seed Technology Partners IV, LP
(EIN: 83-1663248), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing

a IRC Sec. 351 contribution made by Ahoy Capital Seed Technology Partners IV, LP

to Plotlogic Pty, Ltd.

(3) Consideration received: ","Ownership interest in Plotlogic Pty, Ltd believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$159,806",95
"

(2) Name of Transferee: Rei Do Pitaco Limited
EIN: N/A

Address:

Country of Incorporation Cayman Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Ahoy Capital Seed Technology Partners IV, LP
(EIN: 83-1663248), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing

a IRC Sec. 351 contribution made by Ahoy Capital Seed Technology Partners IV, LP

to Rei Do Pitaco Limited.

(3) Consideration received: ","Ownership interest in Rei Do Pitaco Limited believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$159,806",96
"

Clue By Biowink GmbH
N/A

Adalbertstrabe 7-8
Berlin, 10999 Germany
Germany

","Oberlin College (EIN: 34-0714363) owns an interest in Balderton Capital VII, SLP
(EIN: 98-1501043), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing
a IRC Sec. 351 contribution made by Balderton Capital VII, SLP

to Clue By Biowink GmbH.

","Ownership interest in Clue By Biowink GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$161,483",97
"

Jokr S.A.R.L.

N/A

6 Rue Adolphe
L-1116 Luxembourg
Luxembourg

","Oberlin College (EIN: 34-0714363) owns an interest in Balderton Capital VII, SLP
(EIN: 98-1501043), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing
a IRC Sec. 351 contribution made by Balderton Capital VII, SLP

to Jokr S.A.R.L.

","Ownership interest in Jokr S.A.R.L. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$238,846",98
"

Ubits Learning Solutions, S.A.S.
N/A

Carrea 7 Bis #106-39

Bogota, Colombia

Colombia

","Oberlin College (EIN: 34-0714363) owns an interest in OWL ventures III, LP
(EIN: 83-0910683), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing
a IRC Sec. 351 contribution made by OWL ventures III, LP

to Ubits Learning Solutions, S.A.S.

","Ownership interest in Ubits Learning Solutions, S.A.S. believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$180,202",99
"

Leap Technologies Private Ltd

N/A

11 Collyer Quay

#17-00 The Arcade, Singapore 049317
Singapore

","Oberlin College (EIN: 34-0714363) owns an interest in Owl Ventures IV, LP
(EIN: 85-0853105), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing
a IRC Sec. 351 contribution made by Owl Ventures IV, LP

to Leap Technologies Private Ltd.

","Ownership interest in Leap Technologies Private Ltd believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$160,001",100
"

Morressier GmbH

N/A

Zossener Strasse 55-58
10961 Berlin, Germany
Germany

","Oberlin College (EIN: 34-0714363) owns an interest in Owl Ventures IV, LP

(EIN: 85-0853105), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing
a IRC Sec. 351 contribution made by Owl Ventures IV, LP

to Morressier GmbH.

","Ownership interest in Morressier GmbH believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$107,700",101
"

Pplingo Holdings, Ltd

N/A

Vistra Corporate Services Centre, Wickhams Cay
Road Town, Tortola, VG1110, British Virgin Islands
British Virgin Islands

","Oberlin College (EIN: 34-0714363) owns an interest in Owl Ventures IV, LP

(EIN: 85-0853105), who provided a Schedule K-1,

Partner's Share of Income, Deduction, Credit, etc. to Oberlin College describing
a IRC Sec. 351 contribution made by Owl Ventures IV, LP

to Pplingo Holdings, Ltd.

","Ownership interest in Pplingo Holdings, Ltd believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$143,831",102
"

(2) Name of Transferee: SNYK, Ltd

EIN: N/A

Address: 50 Broadway, Suite 4, 7th Floor
London, UK SW1H ODB

Country of Incorporation United Kingdom

","Oberlin College (EIN: 34-0714363) owns an interest in Stripes III Offshore AIV, LP

(EIN: 98-1257392), who provided a Schedule K-1, Partner's Share of Income, Deduction, Credit, etc.
to Oberlin College describing a IRC Sec. 351 contribution made by Stripes ||| Offshore AIV, LP

to SNYK, Ltd.

(3) Consideration received: ","Ownership interest in SNYK, Ltd believed at the time to be equal in
value to the cash transferred and consisting of stock in the foreign corporation","$341,712",103
